order_id,amount,profit,quantity,category,sub_category,paymentMode
B-25681,1096,658,7,Electronics,Electronic Games,COD
B-26055,5729,64,14,Furniture,Chairs,EMI
B-25955,2927,146,8,Furniture,Bookcases,EMI
B-26093,2847,712,8,Electronics,Printers,Credit Card
B-25602,2617,1151,4,Electronics,Phones,Credit Card
B-25881,2244,247,4,Clothing,Trousers,Credit Card
B-25696,275,-275,4,Clothing,Saree,COD
B-25687,387,-213,5,Clothing,Saree,UPI
B-25643,50,-44,2,Clothing,Hankerchief,UPI
B-25851,135,-54,5,Clothing,Kurti,COD
B-25703,231,-190,9,Clothing,Hankerchief,COD
B-25887,2125,-234,6,Electronics,Printers,EMI
B-25923,3873,-891,6,Electronics,Phones,Credit Card
B-25756,729,-492,5,Furniture,Bookcases,UPI
B-25761,2188,1050,5,Furniture,Bookcases,Credit Card
B-25655,6,-3,1,Clothing,Hankerchief,UPI
B-25786,1854,433,5,Furniture,Bookcases,Credit Card
B-26095,6,1,1,Clothing,Kurti,UPI
B-25853,2093,721,5,Furniture,Chairs,Credit Card
B-25735,7,-1,2,Clothing,Skirt,UPI
B-25910,1622,-624,5,Furniture,Tables,Credit Card
B-25950,1622,95,5,Electronics,Printers,Credit Card
B-25744,373,254,6,Electronics,Printers,UPI
B-25845,82,-33,4,Clothing,Kurti,COD
B-26001,8,2,2,Clothing,Skirt,UPI
B-25830,1954,782,3,Electronics,Phones,Credit Card
B-25842,1543,370,8,Electronics,Printers,Credit Card
B-25778,1506,-266,6,Electronics,Printers,Credit Card
B-25686,1829,-56,6,Furniture,Tables,Credit Card
B-25754,9,-1,3,Clothing,Skirt,UPI
B-26048,1461,202,5,Furniture,Tables,EMI
B-25816,391,113,8,Clothing,Stole,COD
B-26022,1824,1303,8,Electronics,Phones,Credit Card
B-25883,16,-15,4,Clothing,Hankerchief,UPI
B-26003,1745,122,2,Furniture,Tables,Credit Card
B-26097,663,-212,5,Electronics,Printers,UPI
B-25710,10,-1,1,Clothing,Leggings,UPI
B-25797,1630,802,5,Furniture,Tables,EMI
B-25618,12,0,2,Clothing,Hankerchief,UPI
B-25723,12,-7,2,Clothing,Leggings,UPI
B-25755,1709,564,3,Clothing,Trousers,Credit Card
B-25788,12,3,1,Clothing,Stole,UPI
B-25991,13,5,2,Clothing,Hankerchief,UPI
B-25779,1361,980,3,Furniture,Tables,COD
B-25909,1622,-448,3,Electronics,Phones,EMI
B-25943,1547,340,6,Electronics,Accessories,EMI
B-25935,1657,460,4,Furniture,Chairs,Credit Card
B-25613,1603,0,9,Clothing,Saree,Credit Card
B-25729,1549,-439,4,Electronics,Phones,Credit Card
B-25772,1183,106,4,Electronics,Printers,EMI
B-25640,1499,239,13,Clothing,Saree,Credit Card
B-25810,1120,199,6,Clothing,Saree,EMI
B-25801,15,-2,1,Clothing,T-shirt,Debit Card
B-26085,1487,624,3,Clothing,Trousers,Credit Card
B-25868,1118,206,2,Furniture,Tables,Credit Card
B-25714,11,-5,2,Clothing,Hankerchief,COD
B-25784,15,4,1,Clothing,Hankerchief,Debit Card
B-25608,1364,1864,5,Furniture,Tables,Credit Card
B-26051,1337,147,7,Electronics,Printers,Credit Card
B-25900,15,2,1,Clothing,Leggings,Debit Card
B-25760,322,-193,5,Electronics,Printers,UPI
B-25762,1316,527,7,Electronics,Electronic Games,Credit Card
B-25995,1314,342,3,Furniture,Bookcases,Credit Card
B-25965,17,7,3,Clothing,Hankerchief,Debit Card
B-25967,17,2,2,Clothing,Skirt,Debit Card
B-25674,17,-12,5,Clothing,Skirt,Debit Card
B-25929,1308,536,3,Furniture,Bookcases,Credit Card
B-25777,1076,-38,4,Electronics,Printers,Credit Card
B-26006,1301,573,5,Electronics,Accessories,Credit Card
B-25697,1300,-16,8,Electronics,Printers,Credit Card
B-25667,11,-2,4,Clothing,Hankerchief,COD
B-25836,1298,65,9,Electronics,Printers,EMI
B-25984,304,97,6,Clothing,Stole,UPI
B-25728,1055,264,4,Electronics,Printers,EMI
B-25757,17,-13,4,Clothing,Skirt,Debit Card
B-25957,147,73,3,Clothing,Stole,COD
B-26061,965,-68,3,Electronics,Printers,COD
B-25616,14,-2,3,Clothing,Hankerchief,UPI
B-25666,934,-916,7,Electronics,Electronic Games,COD
B-25675,929,-93,9,Clothing,Saree,COD
B-26079,18,3,2,Clothing,Hankerchief,Debit Card
B-25850,916,192,11,Electronics,Phones,COD
B-25693,76,-72,9,Clothing,Hankerchief,COD
B-25852,869,67,4,Furniture,Tables,COD
B-25860,112,24,3,Clothing,Kurti,COD
B-25898,857,-274,2,Furniture,Tables,COD
B-26100,828,230,2,Furniture,Chairs,COD
B-25653,1279,-640,8,Electronics,Printers,EMI
B-25839,1250,486,7,Clothing,Saree,EMI
B-25651,823,-18,7,Furniture,Chairs,COD
B-25704,126,-63,3,Electronics,Accessories,UPI
B-25730,1145,-706,3,Electronics,Phones,Credit Card
B-26052,774,170,3,Electronics,Accessories,COD
B-25656,24,-1,2,Clothing,Hankerchief,COD
B-26033,774,170,3,Electronics,Accessories,COD
B-25945,765,-36,3,Electronics,Electronic Games,COD
B-26086,762,101,6,Electronics,Printers,COD
B-25752,761,266,9,Electronics,Electronic Games,COD
B-26098,96,-48,5,Clothing,Leggings,UPI
B-26067,1137,-14,7,Electronics,Printers,EMI
B-25986,749,-307,7,Furniture,Furnishings,COD
B-25953,744,119,6,Electronics,Printers,COD
